,source,text,created_at,retweet_count,favorite_count,is_retweet,id_str,at_who,words,tweet_len,tweet_no_words,capital_words,has_endors
1061,Twitter for iPhone,This is what happens to someone who loyally gets appointed Attorney General of the United States amp then doesnt have the wisdom or courage to stare down amp end the phony Russia Witch Hunt Recuses himself on FIRST DAY in office and the Mueller Scam begins ,2020-03-04 12:31:24,15864.0,59147,false,1.2351810438813e+18,[],"['This', 'is', 'what', 'happens', 'to', 'someone', 'who', 'loyally', 'gets', 'appointed', 'Attorney', 'General', 'of', 'the', 'United', 'States', 'amp', 'then', 'doesnt', 'have', 'the', 'wisdom', 'or', 'courage', 'to', 'stare', 'down', 'amp', 'end', 'the', 'phony', 'Russia', 'Witch', 'Hunt', 'Recuses', 'himself', 'on', 'FIRST', 'DAY', 'in', 'office', 'and', 'the', 'Mueller', 'Scam', 'begins']",257,46,FIRST,0
1209,Twitter for iPhone, It has been a scam right from the beginning with the illegally started Mueller Report FISA the leaking lying amp more Schiff should not have access to Intelligence he is a corrupt pol Amazing that they went to Bernie Sanders but not to President Trump ,2020-02-25 02:29:59,12069.0,45307,false,1.2321305918622474e+18,['@marthamaccallum'],"['It', 'has', 'been', 'a', 'scam', 'right', 'from', 'the', 'beginning', 'with', 'the', 'illegally', 'started', 'Mueller', 'Report', 'FISA', 'the', 'leaking', 'lying', 'amp', 'more', 'Schiff', 'should', 'not', 'have', 'access', 'to', 'Intelligence', 'he', 'is', 'a', 'corrupt', 'pol', 'Amazing', 'that', 'they', 'went', 'to', 'Bernie', 'Sanders', 'but', 'not', 'to', 'President', 'Trump']",253,45,FISA,0
1215,Twitter for iPhone,Set up by Schiffs lies amp leaks Same with the Mueller Witch Hunt years ago ,2020-02-24 21:28:48,16201.0,57044,false,1.2320547965023437e+18,[],"['Set', 'up', 'by', 'Schiffs', 'lies', 'amp', 'leaks', 'Same', 'with', 'the', 'Mueller', 'Witch', 'Hunt', 'years', 'ago']",76,15,,0
1229,Twitter for iPhone,Are any Democrat operatives the DNC or Crooked Hillary Clinton blaming Russia Russia Russia for the Bernie Sanders win in Nevada If so I suggest calling Bob Mueller amp the Angry Democrats to do a new Mueller Report Democrat Edition Bob will get to the bottom of it ,2020-02-23 18:45:26,28205.0,111474,false,1.2316512940429722e+18,[],"['Are', 'any', 'Democrat', 'operatives', 'the', 'DNC', 'or', 'Crooked', 'Hillary', 'Clinton', 'blaming', 'Russia', 'Russia', 'Russia', 'for', 'the', 'Bernie', 'Sanders', 'win', 'in', 'Nevada', 'If', 'so', 'I', 'suggest', 'calling', 'Bob', 'Mueller', 'amp', 'the', 'Angry', 'Democrats', 'to', 'do', 'a', 'new', 'Mueller', 'Report', 'Democrat', 'Edition', 'Bob', 'will', 'get', 'to', 'the', 'bottom', 'of', 'it']",266,48,DNC,0
1240,Twitter for iPhone, An investigation into NOTHING The wonderful on the Mueller Witch Hunt ,2020-02-22 14:18:33,13335.0,60623,false,1.2312217436474368e+18,['@trish_regan'],"['An', 'investigation', 'into', 'NOTHING', 'The', 'wonderful', 'on', 'the', 'Mueller', 'Witch', 'Hunt']",71,11,NOTHING,0
1293,Twitter for iPhone, And this despite Fake Witch Hunts the Mueller Scam the Impeachment Hoax etc With our Economy Jobs Military Vets A amp more I would be at Oh well what can you do ,2020-02-18 22:37:14,17355.0,69033,false,1.2298976915905823e+18,[],"['And', 'this', 'despite', 'Fake', 'Witch', 'Hunts', 'the', 'Mueller', 'Scam', 'the', 'Impeachment', 'Hoax', 'etc', 'With', 'our', 'Economy', 'Jobs', 'Military', 'Vets', 'A', 'amp', 'more', 'I', 'would', 'be', 'at', 'Oh', 'well', 'what', 'can', 'you', 'do']",162,32,A,0
1295,Twitter for iPhone,I hope the Federal Judges Association will discuss the tremendous FISA Court abuse that has taken place with respect to the Mueller Investigation Scam including the forging of documents and knowingly using the fake and totally discredited Dossier before the Court Thank you ,2020-02-18 22:25:05,27899.0,102985,false,1.2298946332802662e+18,[],"['I', 'hope', 'the', 'Federal', 'Judges', 'Association', 'will', 'discuss', 'the', 'tremendous', 'FISA', 'Court', 'abuse', 'that', 'has', 'taken', 'place', 'with', 'respect', 'to', 'the', 'Mueller', 'Investigation', 'Scam', 'including', 'the', 'forging', 'of', 'documents', 'and', 'knowingly', 'using', 'the', 'fake', 'and', 'totally', 'discredited', 'Dossier', 'before', 'the', 'Court', 'Thank', 'you']",274,43,I,0
1297,Twitter for iPhone, And this despite Fake Witch Hunts the Mueller Scam the Impeachment Hoax etc With our Economy Jobs Military Vets A amp more I would be at Oh well what can you do ,2020-02-18 21:08:48,5074.0,19386,false,1.2298754374859776e+18,[],"['And', 'this', 'despite', 'Fake', 'Witch', 'Hunts', 'the', 'Mueller', 'Scam', 'the', 'Impeachment', 'Hoax', 'etc', 'With', 'our', 'Economy', 'Jobs', 'Military', 'Vets', 'A', 'amp', 'more', 'I', 'would', 'be', 'at', 'Oh', 'well', 'what', 'can', 'you', 'do']",162,32,A,0
1303,Twitter for iPhone, And this despite Fake Witch Hunts the Mueller Scam the Impeachment Hoax etc With our Economy Jobs Military Vets A amp more I would be at Oh well what can you do ,2020-02-18 18:31:47,4923.0,22371,false,1.2298359217779302e+18,[],"['And', 'this', 'despite', 'Fake', 'Witch', 'Hunts', 'the', 'Mueller', 'Scam', 'the', 'Impeachment', 'Hoax', 'etc', 'With', 'our', 'Economy', 'Jobs', 'Military', 'Vets', 'A', 'amp', 'more', 'I', 'would', 'be', 'at', 'Oh', 'well', 'what', 'can', 'you', 'do']",162,32,A,0
1321,Twitter for iPhone,These were Mueller prosecutors and the whole Mueller investigation was illegally set up based on a phony and now fully discredited Fake Dossier lying and forging documents to the FISA Court and many other things Everything having to do with this fraudulent investigation is ,2020-02-18 13:14:20,18188.0,65803,false,1.2297560326934733e+18,[],"['These', 'were', 'Mueller', 'prosecutors', 'and', 'the', 'whole', 'Mueller', 'investigation', 'was', 'illegally', 'set', 'up', 'based', 'on', 'a', 'phony', 'and', 'now', 'fully', 'discredited', 'Fake', 'Dossier', 'lying', 'and', 'forging', 'documents', 'to', 'the', 'FISA', 'Court', 'and', 'many', 'other', 'things', 'Everything', 'having', 'to', 'do', 'with', 'this', 'fraudulent', 'investigation', 'is']",274,44,FISA,0
